id,track,code,name,prestige,scholarship_amount
1,DB,VLDB, Very Large Data Bases,1,2829
2,DB,SIGMOD, ACM SIGMOD Conf on Management of Data,1,2787
3,DB,PODS, ACM SIGMOD Conf on Principles of DB Systems,1,2855
4,DB,ICDE, IEEE Intl Conf on Data Engineering,1,2773
5,DB,ICDT, Intl Conf on Database Theory,1,2502
6,DB,EDBT, Extending DB Technology,1,2924
7,DM,SIGKDD, ACM Knowledge Discovery and Data Mining,1,2921
8,DM,ICDM, IEEE International Conference on Data Mining,1,2760
9,AI,IJCAI, Intl Joint Conf on AI,1,2940
10,AI,AAAI, American Association for AI National Conference,1,2517
11,AI,ICML, Intl Conf on Machine Learning,1,2947
12,AI,UAI, Conference on Uncertainty in AI,1,2950
13,AI,UMAP, Intl Conf on User Modeling Adaptation and Personalization,1,2603
14,AI,NIPS, Neural Information Processing Systems,1,2781
15,AI,AAMAS, International Conference on Autonomous Agents and Multiagent Systems,1,2683
16,NL,ACL, Association for Computational Linguistics,1,2793
17,ED,AIED, Intl Conf on Artificial Intelligence in Education,1,2783
18,ED,ITS, Intelligent Tutoring System Conference,1,2588
19,IR,SIGIR, ACM SIGIR Conf on Information Retrieval,1,2662
20,W3,WWW, World-Wide Web Conference,1,2822
21,W3,ICIS, Intl Conf on Information Systems,1,2642
22,DP,PPoPP, Principles and Practice of Parallel Programming,1,2767
23,DP,PACT, Intl Conf on Parallel Arch and Compil Tech,1,2986
24,DP,IPDPS, IEEE Intl Parallel and Dist Processing Symp,1,2984
25,DP,ICPP, Intl Conf on Parallel  Processing,1,2790
26,DP,Euro-Par, European Conf. on Parallel  Computing,1,2662
27,GV,IGGRAPH, ACM SIGGRAPH Conference,1,2872
28,GV,CVPR, IEEE Conf on Comp Vision and Pattern Recognition,1,2652
29,GV,CCV, Intl Conf on Computer Vision,1,2776
30,GV,3DG, ACM-SIGRAPH Interactive 3D Graphics,1,2823
31,MM,ACM-MM, ACM Multimedia Conference,1,2974
32,NC,SIGCOMM, ACM Conf on Protocols for Comp Comm,1,2929
33,NC,PERFORMANCE IFIP, Intl Symp on Computer Performance Modeling Measurements Evaluation,1,2904
34,NC,SIGMETRICS, ACM Conf on Meas. & Modelling of Comp Sys,1,2663
35,NC,INFOCOM, Annual Joint Conf IEEE Comp & Comm Soc,1,2783
36,NC,MOBICOM, ACM Intl Conf on Mobile Computing and Networking,1,2670
37,SE,IEESSP, IEEE Symposium on Security and Privay,1,2841
38,SE,CCS, ACM Conf on Comp and Communications Security,1,2826
39,OS,SOSP, ACM SIGOPS Symp on OS Principles,1,2509
40,OS,OSDI,  Usenix Symp on OS Design and Implementation,1,2597
41,DB,ER, Intl Conf on Conceptual Modeling (Conf on the Entity Relationship Approach),3,1394
42,DB,SSDBM, Intl Conf on Scientific and Statistical DB Mgmt,3,1482
43,DB,FODO, Intl Conf on Foundation on Data Organization,3,1185
44,DB,DASFAA, Database Systems for Advanced Applications,3,1108
45,DB,SSD, Intl Symp on Large Spatial Databases,3,1410
46,DB,DOOD, Deductive and Object-Oriented Databases,3,1182
